name                          ,L_1_01_2021,L_1_02_2021,L_1_03_2021,L_1_04_2021,L_1_05_2021,L_1_06_2021,L_1_07_2021,L_1_08_2021,L_1_09_2021,L_1_10_2021,L_1_11_2021,L_1_12_2021,L_1_13_2021,L_1_14_2021,L_1_15_2021,L_1_16_2021,L_1_17_2021,L_1_18_2021,L_1_19_2021,L_1_20_2021,L_1_21_2021,L_1_22_2021,L_1_23_2021,L_1_24_2021,L_2_01_2021,L_2_02_2021,L_2_03_2021,L_2_04_2021,L_2_05_2021,L_2_06_2021,L_2_07_2021,L_2_08_2021,L_2_09_2021,L_2_10_2021,L_2_11_2021,L_2_12_2021,L_2_13_2021,L_2_14_2021,L_2_15_2021,L_2_16_2021,L_2_17_2021,L_2_18_2021,L_2_19_2021,L_2_20_2021,L_2_21_2021,L_2_22_2021,L_2_23_2021,L_2_24_2021,L_3_01_2021,L_3_02_2021,L_3_03_2021,L_3_04_2021,L_3_05_2021,L_3_06_2021,L_3_07_2021,L_3_08_2021,L_3_09_2021,L_3_10_2021,L_3_11_2021,L_3_12_2021,L_3_13_2021,L_3_14_2021,L_3_15_2021,L_3_16_2021,L_3_17_2021,L_3_18_2021,L_3_19_2021,L_3_20_2021,L_3_21_2021,L_3_22_2021,L_3_23_2021,L_3_24_2021,L_4_01_2021,L_4_02_2021,L_4_03_2021,L_4_04_2021,L_4_05_2021,L_4_06_2021,L_4_07_2021,L_4_08_2021,L_4_09_2021,L_4_10_2021,L_4_11_2021,L_4_12_2021,L_4_13_2021,L_4_14_2021,L_4_15_2021,L_4_16_2021,L_4_17_2021,L_4_18_2021,L_4_19_2021,L_4_20_2021,L_4_21_2021,L_4_22_2021,L_4_23_2021,L_4_24_2021,L_5_01_2021,L_5_02_2021,L_5_03_2021,L_5_04_2021,L_5_05_2021,L_5_06_2021,L_5_07_2021,L_5_08_2021,L_5_09_2021,L_5_10_2021,L_5_11_2021,L_5_12_2021,L_5_13_2021,L_5_14_2021,L_5_15_2021,L_5_16_2021,L_5_17_2021,L_5_18_2021,L_5_19_2021,L_5_20_2021,L_5_21_2021,L_5_22_2021,L_5_23_2021,L_5_24_2021,L_6_01_2021,L_6_02_2021,L_6_03_2021,L_6_04_2021,L_6_05_2021,L_6_06_2021,L_6_07_2021,L_6_08_2021,L_6_09_2021,L_6_10_2021,L_6_11_2021,L_6_12_2021,L_6_13_2021,L_6_14_2021,L_6_15_2021,L_6_16_2021,L_6_17_2021,L_6_18_2021,L_6_19_2021,L_6_20_2021,L_6_21_2021,L_6_22_2021,L_6_23_2021,L_6_24_2021,W_1_01_2021,W_1_02_2021,W_1_03_2021,W_1_04_2021,W_1_05_2021,W_1_06_2021,W_1_07_2021,W_1_08_2021,W_1_09_2021,W_1_10_2021,W_1_11_2021,W_1_12_2021,W_1_13_2021,W_1_14_2021,W_1_15_2021,W_1_16_2021,W_1_17_2021,W_1_18_2021,W_1_19_2021,W_1_20_2021,W_1_21_2021,W_1_22_2021,W_1_23_2021,W_1_24_2021,W_2_01_2021,W_2_02_2021,W_2_03_2021,W_2_04_2021,W_2_05_2021,W_2_06_2021,W_2_07_2021,W_2_08_2021,W_2_09_2021,W_2_10_2021,W_2_11_2021,W_2_12_2021,W_2_13_2021,W_2_14_2021,W_2_15_2021,W_2_16_2021,W_2_17_2021,W_2_18_2021,W_2_19_2021,W_2_20_2021,W_2_21_2021,W_2_22_2021,W_2_23_2021,W_2_24_2021,W_3_01_2021,W_3_02_2021,W_3_03_2021,W_3_04_2021,W_3_05_2021,W_3_06_2021,W_3_07_2021,W_3_08_2021,W_3_09_2021,W_3_10_2021,W_3_11_2021,W_3_12_2021,W_3_13_2021,W_3_14_2021,W_3_15_2021,W_3_16_2021,W_3_17_2021,W_3_18_2021,W_3_19_2021,W_3_20_2021,W_3_21_2021,W_3_22_2021,W_3_23_2021,W_3_24_2021,W_4_01_2021,W_4_02_2021,W_4_03_2021,W_4_04_2021,W_4_05_2021,W_4_06_2021,W_4_07_2021,W_4_08_2021,W_4_09_2021,W_4_10_2021,W_4_11_2021,W_4_12_2021,W_4_13_2021,W_4_14_2021,W_4_15_2021,W_4_16_2021,W_4_17_2021,W_4_18_2021,W_4_19_2021,W_4_20_2021,W_4_21_2021,W_4_22_2021,W_4_23_2021,W_4_24_2021,W_5_01_2021,W_5_02_2021,W_5_03_2021,W_5_04_2021,W_5_05_2021,W_5_06_2021,W_5_07_2021,W_5_08_2021,W_5_09_2021,W_5_10_2021,W_5_11_2021,W_5_12_2021,W_5_13_2021,W_5_14_2021,W_5_15_2021,W_5_16_2021,W_5_17_2021,W_5_18_2021,W_5_19_2021,W_5_20_2021,W_5_21_2021,W_5_22_2021,W_5_23_2021,W_5_24_2021,W_5_25_2021,W_6_01_2021,W_6_02_2021,W_6_03_2021,W_6_04_2021,W_6_05_2021,W_6_06_2021,W_6_07_2021,W_6_08_2021,W_6_09_2021,W_6_10_2021,W_6_11_2021,W_6_12_2021,W_6_13_2021,W_6_14_2021,W_6_15_2021,W_6_16_2021,W_6_17_2021,W_6_18_2021,W_6_19_2021,W_6_20_2021,W_6_21_2021,W_6_22_2021,W_6_23_2021,W_6_24_2021,C01_2021,C02_2021
Clinopodium_vulgare           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,4,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,2,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,10,           ,10,30,70,0.5,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,           ,           ,           ,           ,2,           ,4,           ,           ,           ,           ,           ,           ,20,           ,           ,           ,           ,           ,4,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,2,           ,           ,           ,           ,           ,10,           ,           ,           ,           ,           ,           ,10,           ,0.5,4,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,10,           ,           ,           ,10,           ,           ,           ,4,           ,           ,           ,40,0.5,           ,           ,           ,           ,           ,           ,           ,20,0.5,           ,           ,           ,           ,           ,           ,           ,20,           ,           ,           ,10,0.5,           ,           ,           ,           ,           ,4,           ,           ,           ,,
Consolida_regalis             ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,
Convolvulus_arvensis          ,10,           ,           ,10,20,4,30,30,20,40,30,30,50,50,50,60,40,30,30,30,20,40,20,20,4,4,10,40,10,30,40,30,20,           ,10,2,10,10,2,20,10,10,20,30,40,           ,           ,10,30,20,2,30,30,10,20,30,20,20,10,10,20,30,40,30,30,40,40,30,30,10,20,30,40,10,20,10,10,30,10,20,20,20,20,20,30,30,30,20,40,30,20,20,20,20,20,20,50,20,20,20,30,10,10,4,2,4,10,20,20,20,20,20,20,40,20,10,10,30,20,10,           ,           ,           ,2,10,20,20,20,2,           ,           ,           ,           ,           ,           ,           ,0.5,30,           ,10,30,30,20,20,4,4,           ,           ,4,10,10,10,10,           ,           ,           ,           ,           ,           ,           ,           ,0.5,0.5,           ,2,           ,           ,4,20,30,10,20,10,10,10,4,20,2,           ,           ,           ,10,           ,           ,2,0.5,           ,2,4,2,2,2,4,10,10,10,           ,           ,2,           ,           ,4,           ,           ,2,2,           ,           ,4,20,20,20,20,10,10,20,           ,           ,           ,           ,2,4,2,           ,20,10,4,2,2,2,4,10,4,2,0.5,4,4,2,2,20,2,4,2,2,10,10,           ,           ,           ,           ,           ,4,2,2,           ,4,           ,           ,2,2,10,30,30,4,10,10,20,10,10,4,           ,4,4,4,           ,           ,2,           ,           ,           ,2,           ,2,2,20,40,4,2,           ,,
Cornus_controversa            ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,
Cota_tinctoria                ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,10,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,
Crepis_biennis                ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,           ,           ,           ,           ,           ,0.5,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,20,10,           ,           ,           ,2,0.5,           ,           ,           ,           ,           ,           ,           ,10,10,           ,           ,2,           ,2,           ,0.5,4,2,           ,0.5,2,2,4,2,10,0.5,           ,2,           ,           ,0.5,           ,0.5,10,4,2,           ,2,2,4,           ,           ,           ,2,2,2,           ,2,2,2,2,4,           ,2,           ,           ,0.5,0.5,           ,0.5,0.5,           ,           ,           ,2,           ,0.5,0.5,           ,0.5,           ,           ,0.5,           ,           ,           ,2,           ,30,10,4,           ,2,2,2,2,0.5,           ,           ,           ,           ,           ,4,           ,           ,2,           ,           ,0.5,           ,           ,           ,           ,           ,           ,           ,10,10,0.5,           ,           ,           ,           ,           ,           ,           ,0.5,0.5,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,           ,           ,2,0.5,,
Crepis_capillaris             ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,
Cynosurus_cristatus           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,2,           ,           ,           ,           ,           ,           ,           ,0.5,0.5,0.5,           ,0.5,0.5,0.5,           ,0.5,0.5,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,           ,           ,           ,           ,           ,           ,           ,2,           ,           ,           ,           ,           ,           ,0.5,0.5,0.5,0.5,           ,0.5,           ,           ,           ,0.5,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,           ,           ,           ,           ,           ,           ,0.5,           ,           ,0.5,           ,           ,2,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,,
Dactylis_glomerata            ,20,           ,           ,           ,           ,2,0.5,           ,           ,           ,           ,           ,0.5,           ,           ,           ,0.5,           ,           ,0.5,0.5,           ,0.5,           ,           ,           ,           ,0.5,           ,           ,           ,           ,           ,           ,           ,           ,2,           ,           ,0.5,0.5,           ,           ,0.5,           ,           ,0.5,           ,           ,           ,           ,           ,           ,           ,0.5,           ,0.5,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,           ,           ,           ,           ,           ,           ,0.5,           ,2,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0.5,0.5,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,0.5,           ,0.5,           ,           ,0.5,2,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,           ,           ,0.5,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,           ,10,4,0.5,2,           ,4,2,           ,           ,2,           ,4,           ,0.5,           ,0.5,           ,           ,2,           ,0.5,0.5,0.5,           ,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,2,2,2,           ,0.5,           ,2,0.5,2,0.5,           ,0.5,           ,           ,2,4,           ,0.5,           ,2,0.5,           ,0.5,           ,           ,           ,0.5,           ,           ,           ,           ,           ,           ,           ,           ,           ,2,0.5,           ,           ,0.5,0.5,           ,           ,           ,           ,           ,2,           ,           ,           ,           ,           ,           ,2,2,2,20,2,           ,0.5,2,4,2,2,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,           ,           ,2,0.5,2,0.5,           ,0.5,0.5,2,           ,           ,0.5,0.5,0.5,2,0.5,2,2,2,0.5,0.5,           ,0.5,0.5,4,2,           ,0.5,           ,0.5,0.5,           ,           ,0.5,2,           ,4,,
Daucus_carota                 ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,20,           ,           ,           ,           ,           ,           ,           ,           ,2,4,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,           ,           ,           ,           ,0.5,           ,           ,           ,           ,0.5,           ,           ,0.5,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,40,           ,           ,           ,           ,           ,           ,           ,           ,4,           ,           ,           ,           ,2,           ,2,           ,           ,           ,0.5,           ,           ,0.5,2,           ,           ,0.5,           ,0.5,2,4,4,0.5,0.5,0.5,           ,           ,           ,0.5,           ,           ,0.5,2,0.5,2,0.5,           ,2,0.5,0.5,           ,0.5,           ,0.5,           ,2,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,           ,           ,           ,           ,           ,0.5,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,2,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,           ,           ,0.5,           ,4,           ,0.5,           ,           ,           ,0.5,2,0.5,0.5,           ,0.5,           ,           ,           ,           ,           ,           ,           ,0.5,           ,0.5,           ,0.5,           ,0.5,0.5,0.5,           ,0.5,           ,           ,           ,           ,           ,0.5,4,           ,           ,           ,           ,           ,           ,           ,           ,           ,,
Dianthus_carthusianorum       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,           ,0.5,           ,           ,2,0.5,0.5,0.5,0.5,           ,2,0.5,           ,0.5,           ,0.5,           ,0.5,0.5,0.5,           ,           ,0.5,0.5,0.5,0.5,0.5,0.5,           ,0.5,2,4,2,           ,0.5,0.5,           ,           ,           ,           ,           ,0.5,2,           ,           ,           ,0.5,2,2,2,           ,           ,           ,           ,2,0.5,0.5,           ,           ,           ,0.5,           ,           ,           ,           ,           ,0.5,           ,           ,           ,           ,0.5,0.5,           ,0.5,0.5,0.5,0.5,0.5,0.5,           ,           ,           ,           ,           ,           ,           ,           ,0.5,0.5,           ,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,           ,           ,           ,           ,           ,0.5,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0.5,           ,0.5,           ,           ,2,           ,           ,           ,0.5,           ,           ,           ,0.5,           ,           ,           ,           ,0.5,           ,           ,           ,           ,0.5,           ,0.5,0.5,           ,           ,           ,           ,           ,0.5,           ,           ,           ,           ,2,0.5,           ,           ,0.5,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,2,           ,           ,           ,           ,           ,0.5,           ,           ,           ,           ,0.5,           ,           ,           ,           ,           ,2,           ,2,           ,           ,           ,           ,           ,0.5,           ,           ,           ,0.5,           ,0.5,           ,           ,           ,           ,0.5,           ,           ,           ,           ,           ,0.5,           ,           ,           ,           ,           ,           ,           ,           ,,
Dipsacus_fullonum             ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,
Echinochloa_crus-galli        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,
